fecha,riesgo_pais
2021-11-25,1821.0
2021-11-26,1872.0
2021-11-29,1878.0
2021-11-30,1914.0
2021-12-01,1827.0
2021-12-02,1816.0
2021-12-03,1779.0
2021-12-06,1747.0
2021-12-07,1698.0
2021-12-08,1693.0
2021-12-09,1684.0
2021-12-10,1712.0
2021-12-13,1717.0
2021-12-14,1697.0
2021-12-15,1686.0
2021-12-16,1704.0
2021-12-17,1717.0
2021-12-20,1748.0
2021-12-21,1743.0
2021-12-22,1754.0
2021-12-23,1762.0
2021-12-24,1762.0
2021-12-27,1743.0
2021-12-28,1718.0
2021-12-29,1702.0
2021-12-30,1703.0
2021-12-31,1688.0
2022-01-03,1701.0
2022-01-04,1731.0
2022-01-05,1753.0
2022-01-06,1788.0
2022-01-07,1802.0
2022-01-10,1821.0
2022-01-11,1820.0
2022-01-12,1835.0
2022-01-13,1864.0
2022-01-14,1882.0
2022-01-17,1882.0
2022-01-18,1890.0
2022-01-19,1880.0
2022-01-20,1907.0
2022-01-21,1916.0
2022-01-24,1961.0
2022-01-25,1928.0
2022-01-26,1896.0
2022-01-27,1904.0
2022-01-28,1756.0
2022-01-31,1723.0
2022-02-01,1740.0
2022-02-02,1726.0
2022-02-03,1758.0
2022-02-04,1780.0
2022-02-07,1784.0
2022-02-08,1770.0
2022-02-09,1767.0
2022-02-10,1776.0
2022-02-11,1814.0
2022-02-14,1800.0
2022-02-15,1762.0
2022-02-16,1738.0
2022-02-17,1759.0
2022-02-18,1709.0
2022-02-22,1725.0
2022-02-23,1739.0
2022-02-24,1766.0
2022-02-25,1795.0
2022-02-28,1816.0
2022-03-01,1842.0
2022-03-02,1850.0
2022-03-03,1860.0
2022-03-04,1927.0
2022-03-07,1971.0
2022-03-08,1979.0
2022-03-09,1874.0
2022-03-10,1825.0
2022-03-11,1816.0
2022-03-14,1807.0
2022-03-15,1815.0
2022-03-16,1780.0
2022-03-17,1769.0
2022-03-18,1789.0
2022-03-21,1791.0
2022-03-22,1787.0
2022-03-23,1837.0
2022-03-24,1817.0
2022-03-25,1785.0
2022-03-28,1744.0
2022-03-29,1727.0
2022-03-30,1729.0
2022-03-31,1718.0
2022-04-01,1714.0
2022-04-04,1692.0
2022-04-05,1710.0
2022-04-06,1710.0
2022-04-07,1702.0
2022-04-08,1711.0
2022-04-11,1723.0
2022-04-12,1735.0
2022-04-13,1710.0
2022-04-14,1689.0
2022-04-18,1679.0
2022-04-19,1689.0
2022-04-20,1701.0
2022-04-21,1730.0
2022-04-22,1776.0
2022-04-25,1754.0
2022-04-26,1782.0
2022-04-27,1768.0
2022-04-28,1789.0
2022-04-29,1801.0
2022-05-02,1817.0
2022-05-03,1786.0
2022-05-04,1763.0
2022-05-05,1788.0
2022-05-06,1808.0
2022-05-09,1849.0
2022-05-10,1854.0
2022-05-11,1840.0
2022-05-12,1887.0
2022-05-13,1895.0
2022-05-16,1927.0
2022-05-17,1930.0
2022-05-18,1951.0
2022-05-19,1944.0
2022-05-20,1951.0
2022-05-23,1916.0
2022-05-24,1934.0
2022-05-25,1917.0
2022-05-26,1928.0
2022-05-27,1916.0
2022-05-30,1916.0
2022-05-31,1918.0
2022-06-01,1914.0
2022-06-02,1897.0
2022-06-03,1894.0
2022-06-06,1908.0
2022-06-07,1930.0
2022-06-08,1970.0
2022-06-09,2045.0
2022-06-10,2043.0
2022-06-13,2124.0
2022-06-14,2125.0
2022-06-15,2111.0
2022-06-16,2199.0
2022-06-17,2213.0
2022-06-20,2213.0
2022-06-21,2200.0
2022-06-22,2265.0
2022-06-23,2285.0
2022-06-24,2356.0
2022-06-27,2451.0
2022-06-28,2434.0
2022-06-29,2371.0
2022-06-30,2428.0
2022-07-01,2344.0
2022-07-04,2344.0
2022-07-05,2652.0
2022-07-06,2683.0
2022-07-07,2641.0
2022-07-08,2651.0
2022-07-11,2669.0
2022-07-12,2728.0
2022-07-13,2729.0
2022-07-14,2756.0
2022-07-15,2754.0
2022-07-18,2767.0
2022-07-19,2766.0
2022-07-20,2770.0
2022-07-21,2913.0
2022-07-22,2890.0
2022-07-25,2905.0
2022-07-26,2831.0
2022-07-27,2672.0
2022-07-28,2519.0
2022-07-29,2398.0
2022-08-01,2403.0
2022-08-02,2419.0
2022-08-03,2444.0
2022-08-04,2458.0
2022-08-05,2436.0
2022-08-08,2371.0
2022-08-09,2468.0
2022-08-10,2476.0
2022-08-11,2442.0
2022-08-12,2467.0
2022-08-15,2417.0
2022-08-16,2395.0
2022-08-17,2422.0
2022-08-18,2441.0
2022-08-19,2456.0
2022-08-22,2438.0
2022-08-23,2386.0
2022-08-24,2336.0
2022-08-25,2320.0
2022-08-26,2394.0
2022-08-29,2420.0
2022-08-30,2407.0
2022-08-31,2385.0
2022-09-01,2396.0
2022-09-02,2427.0
2022-09-05,2427.0
2022-09-06,2355.0
2022-09-07,2350.0
2022-09-08,2336.0
2022-09-09,2318.0
2022-09-12,2304.0
2022-09-13,2317.0
2022-09-14,2329.0
2022-09-15,2334.0
2022-09-16,2382.0
2022-09-19,2380.0
2022-09-22,2439.0
2022-09-23,2523.0
2022-09-26,2590.0
2022-09-27,2691.0
2022-09-28,2640.0
2022-09-29,2754.0
2022-09-30,2812.0
2022-10-03,2708.0
2022-10-04,2683.0
2022-10-05,2712.0
2022-10-06,2768.0
2022-10-11,2826.0
2022-10-12,2824.0
2022-10-13,2821.0
2022-10-14,2800.0
2022-10-17,2827.0
2022-10-18,2823.0
2022-10-19,2813.0
2022-10-20,2743.0
2022-10-21,2646.0
2022-10-24,2519.0
2022-10-25,2494.0
2022-10-26,2564.0
2022-10-27,2589.0
2022-10-28,2590.0
2022-10-31,2625.0
2022-11-01,2568.0
2022-11-02,2567.0
2022-11-03,2589.0
2022-11-04,2566.0
2022-11-07,2543.0
2022-11-08,2483.0
2022-11-09,2536.0
2022-11-10,2481.0
2022-11-11,2484.0
2022-11-14,2427.0
2022-11-15,2385.0
2022-11-16,2346.0
2022-11-17,2383.0
2022-11-21,2427.0
2022-11-22,2425.0
2022-11-23,2409.0
2022-11-24,2406.0
2022-11-25,2370.0
2022-11-28,2384.0
2022-11-29,2319.0
2022-11-30,2248.0
2022-12-01,2207.0
2022-12-02,2245.0
2022-12-05,2297.0
2022-12-06,2386.0
2022-12-07,2326.0
2022-12-08,2317.0
2022-12-09,2343.0
2022-12-12,2271.0
2022-12-13,2230.0
2022-12-14,2242.0
2022-12-15,2221.0
2022-12-16,2175.0
2022-12-19,2159.0
2022-12-20,2113.0
2022-12-21,2080.0
2022-12-22,2097.0
2022-12-23,2183.0
2022-12-26,2183.0
2022-12-27,2154.0
2022-12-28,2154.0
2022-12-29,2160.0
2022-12-30,2213.0
2023-01-02,2213.0
2023-01-03,2153.0
2023-01-04,2089.0
2023-01-05,2118.0
2023-01-06,2094.0
2023-01-09,2079.0
2023-01-10,2059.0
2023-01-11,1996.0
2023-01-12,1994.0
2023-01-13,1980.0
2023-01-16,1980.0
2023-01-17,1881.0
